No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"10581883837,98","39593480160,23","10466995371,00","11170356250,00"
2,Februari,"11316734188,51","38699176125,86","10175631438,00","12777162927,00"
3,Maret,"11812127477,93","43029049633,14","11301709941,00","14280888506,00"
4,April,"11689745851,03","39558381868,75","10813624836,00","12028222569,00"
5,Mei,"11517409125,88","40622406240,97","11140679613,00","13132879687,00"
6,Juni,"13206122765,22","44766894584,67","12095220496,00","13501715838,00"
7,Juli,"9649503975,97","39032046988,71","9017159102,00","10138881648,00"
8,Agustus,"12753921321,13","45800576791,74","12385153588,00","14001735399,00"
9,September,"12579750249,95","44146271670,66","11297511237,00","12809168012,00"
10,Oktober,"12743736883,73","47378384671,57","11507180543,00","12391159183,00"
11,November,"13502920382,69","46606206087,95","12669434720,00","12804703935,00"
12,Desember,"13832355186,41","45551700747,95","12782515616,00","12988497126,00"
,,,,,
