No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"13636412653,62","50900144920,20","14268720284,00","12141682743,00"
2,Februari,"14042089243,23","49671209459,93","11548100132,00","13059584031,00"
3,Maret,"14031292077,89","54068776030,33","13352176374,00","14432183255,00"
4,April,"12159824545,01","45172672643,65","12535233221,00","15051046827,00"
5,Mei,"10452625424,79","42236217598,43","8438627383,00","10084426066,00"
6,Juni,"12006813612,70","46387784702,64","10760317981,00","11505323617,00"
7,Juli,"13689902558,81","46069923524,57","10464299676,00","11323464029,00"
8,Agustus,"13055281120,71","43565183268,24","10742407847,00","11839690849,00"
9,September,"13956176571,88","43933093550,32","11570104770,00","12883228618,00"
10,Oktober,"14363443251,43","47117842845,64","10786016684,00","12091546513,00"
11,November,"15258422043,10","53282636840,90","12664414194,00","12137149554,00"
12,Desember,"16539555059,63","57272738271,50","14438376084,00","15330669376,00"
,,,,,
