No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"19173699043,36","27176531455,73","18211103488,00","12525388397,00"
2,Februari,"20472894279,18","44630366469,31","16638511813,00","13643754535,00"
3,Maret,"26497477726,13","61009058930,60","21962417654,00","17890856389,00"
4,April,"27322284675,60","55744554534,32","19757449353,00","15311997567,00"
5,Mei,"21509825822,05","51078811698,32","18609287096,00","13695896141,00"
6,Juni,"26150115171,99","55379269969,52","21003853585,00","15849221401,00"
7,Juli,"25563196494,36","58873597980,57","21345030399,00","15106273518,00"
8,Agustus,"27862094370,64","59542590396,24","22150549517,00","16324740238,00"
9,September,"24777175554,39","60995692131,60","19808344348,00","15373240605,00"
10,Oktober,"24728444384,48","60949225784,49","19135352916,00","15085178245,00"
11,November,"24094037088,31","57159651753,17","18962094932,00","14983782996,00"
12,Desember,"23827858043,97","54788095309,51","19863061497,00","17445166404,00"
,,,,,
