No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"14472289332,00","49154384703,00","14916227693,00","11590996964,00"
2,Februari,"14634090390,00","43416241019,00","13790661990,00","10640029636,00"
3,Maret,"15192634701,00","49294958689,00","14523719412,00","11439923450,00"
4,April,"14292472554,00","45541731344,00","16254976317,00","13005419405,00"
5,Mei,"14823602661,00","47417633575,00","14770336777,00","12197088101,00"
6,Juni,"15409451765,00","44989016798,00","15697742441,00","12811352690,00"
7,Juli,"14124129298,00","43624537982,00","14081710235,00","11541376167,00"
8,Agustus,"14481642319,00","43484947226,00","14793236965,00","11676185855,00"
9,September,"15275846089,00","46043270707,00","15546096309,00","13158825424,00"
10,Oktober,"15292759010,00","43705129574,00","15327994527,00","13184342220,00"
11,November,"13544729209,00","46182204245,00","14041608394,00","12258277415,00"
12,Desember,"14436339660,00","46611395610,00","14434652028,00","14230519275,00"
,,,,,
