No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"14028086397,26","55153741678,03","15005191440,00","13892230800,00"
2,Februari,"12788557131,66","48714544728,77","12465073944,00","12538456210,00"
3,Maret,"14447789013,35","57526309273,95","13746621857,00","13125266829,00"
4,April,"13068068332,92","52365329749,24","15399185930,00","14143962559,00"
5,Mei,"14751890717,71","57680016607,91","14606659275,00","14766069634,00"
6,Juni,"11763353136,51","46497604256,66","11495388062,00","10254928550,00"
7,Juli,"15238418109,04","56408079593,65","15518475622,00","13609908017,00"
8,Agustus,"14261962733,89","52385275556,18","14169350761,00","12679655746,00"
9,September,"14080108446,19","54588169197,79","14263448876,00","13506445659,00"
10,Oktober,"14881456853,91","61412977961,99","14759081430,00","13605297569,00"
11,November,"13944486956,68","56022187369,80","15340475284,00","16222862032,00"
12,Desember,"14428818305,10","55720138557,14","14506784516,00","14283648453,00"
,,,,,
