No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"14576277325,78","48207188456,41","15309429258,00","13227092240,00"
2,Februari,"14132382055,93","46035282233,81","14185493772,00","13779364997,00"
3,Maret,"15510616703,18","52078259569,93","14463601047,00","12979524178,00"
4,April,"14496238057,47","47386767306,40","16162289358,00","14804211163,00"
5,Mei,"16198340826,26","51577563772,48","17662888974,00","16444214204,00"
6,Juni,"12941739831,72","49522181747,15","11267885237,00","10277766719,00"
7,Juli,"16284719992,31","54441268184,18","18297145166,00","15532866751,00"
8,Agustus,"15865124056,42","48619406722,60","16818139736,37","15554819747,00"
9,September,"14956348234,23","50393032873,86","14610057878,00","12860756790,00"
10,Oktober,"15909072846,28","56706511181,50","17667618898,00","15923155505,00"
11,November,"14851720862,22","51141321156,80","16901814777,00","15618755159,00"
12,Desember,"14290093210,17","52798736010,76","15364986090,00","14716898033,00"
,,,,,
