No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"13397676587,81","43565989974,33","11973765825,00","11677887405,00"
2,Februari,"12615980315,09","37467812722,18","11359410570,00","12640301805,00"
3,Maret,"14718477686,88","47776913741,86","13283186576,00","13474016869,00"
4,April,"13269689617,58","44248565280,56","11950612898,00","12432054822,00"
5,Mei,"14333859523,55","44049700226,86","13772553263,00","14996662995,00"
6,Juni,"11661376380,86","39899123547,30","9991567566,00","11067266662,00"
7,Juli,"13611062499,27","45104086462,25","13889809439,00","13474009387,00"
8,Agustus,"15187990996,89","47603859326,86","13509196595,00","14290326822,00"
9,September,"14580216111,80","48289451395,64","12788291967,00","13017265351,00"
10,Oktober,"15252563526,06","50820828191,65","14249179382,00","14703970178,00"
11,November,"15334735600,61","47905955325,27","15113523078,00","14557794980,00"
12,Desember,"14864547089,62","49114346862,32","15104466563,00","14417729365,00"
,,,,,
