No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"22323843853,75","51412618343,17","18442933629,00","15297835516,00"
2,Februari,"21321275494,98","53154842440,69","15919168182,00","13357927312,00"
3,Maret,"23415993725,52","63960402421,10","20588052914,00","17338475865,00"
4,April,belum rilis,belum rilis,belum rilis,belum rilis
5,Mei,belum rilis,belum rilis,belum rilis,belum rilis
6,Juni,belum rilis,belum rilis,belum rilis,belum rilis
7,Juli,belum rilis,belum rilis,belum rilis,belum rilis
8,Agustus,belum rilis,belum rilis,belum rilis,belum rilis
9,September,belum rilis,belum rilis,belum rilis,belum rilis
10,Oktober,belum rilis,belum rilis,belum rilis,belum rilis
11,November,belum rilis,belum rilis,belum rilis,belum rilis
12,Desember,belum rilis,belum rilis,belum rilis,belum rilis
,,,,,
