No.,Bulan,Nilai Ekspor (US $),Berat Ekspor (KG),Nilai Impor (US $),Berat Impor (KG)
1,Januari,"15300168401,83","52594533333,10","13329901020,00","13078332805,00"
2,Februari,"15255398398,45","47636989300,89","13264974634,00","12378562385,00"
3,Maret,"18398414762,13","50524633458,96","16787511490,00","17281282068,00"
4,April,"18474131706,88","49061313898,62","16204338764,00","15359269116,00"
5,Mei,"16908015508,43","51750618405,05","14234815276,00","14618029219,00"
6,Juni,"18547744863,51","52712714180,45","17218457483,00","15690996581,00"
7,Juli,"19369596670,95","55266605966,05","15263122650,00","13883775439,00"
8,Agustus,"21443151840,86","54495451463,73","16678886850,00","14120443591,00"
9,September,"20618788618,10","50900622540,11","16234148586,00","14418830339,00"
10,Oktober,"22090984014,33","56525781312,65","16293616090,00","14353729490,00"
11,November,"22845364125,29","50280024693,20","19328188076,00","15208908997,00"
12,Desember,"22357720667,68","49918547181,81","21352018156,00","17367172373,00"
,,,,,
